Heuristic,Total Tested,Avg Time (successful),Avg Solution Length,Avg Visited States
MANHATTAN,100,0.002,8.6,70
MISPLACED,100,0.016,8.6,780
LINEAR_CONFLICT,100,0.002,8.6,50
DIAGONAL,100,0.007,8.6,281
EUCLIDEAN,100,0.023,8.6,1028
CUSTOM,100,0.004,8.7,154
